category,question,contexts,answer,ground_truth,context_precision,faithfulness,answer_relevancy,context_recall
규정·법령 근거 설명형,철도차량 이력관리 및 정비오더 완료처리 부적정에 대한 감사에 대한 법령을 알려줘요.,,,,,,,
규정·법령 근거 설명형,"폐석면 등 지정폐기물 처리 절차 부적정에 관한 감사사례와 관련 법령, 향후 어떻게 처리해야 하는지 규정을 알려줘.",,,,,,,
규정·법령 근거 설명형,사용계획이 없는 특수 장비를 장기간 재고로 보관한 사례에 대한 감사 기준이나 재고운송·이전 등 규정을 찾아줄래?,,,,,,,
규정·법령 근거 설명형,"직원이 레팔트를 무단 반출해서 개인적 목적으로 사용한 사례가 있는지 찾아주고, 해당 사례의 감사처분과 관련 규정을 설명해줘봐.",,,,,,,
규정·법령 근거 설명형,안내표지 같은 공사용 자재를 직접 구매해야 하는데 시공업체가 대신 구매한 사례나 관련된 규정이 있어?,,,,,,,
규정·법령 근거 설명형,기관이 보유한 자산을 활용하지 않고 방치한 사례 또는 이와 비슷한 감사사례를 찾아주고 관련 법령을 설명해.,,,,,,,
규정·법령 근거 설명형,공사 현장의 사진을 촬영하지 않거나 기록을 남기지 않고 준공처리한 사례에 대한 법령이나 기준을 찾아줘.,,,,,,,
규정·법령 근거 설명형,"과오납된 토지 재산세를 회수하지 못한 사례를 찾아보고, 관련 법령을 설명해줄래요?",,,,,,,
규정·법령 근거 설명형,승소 사건에 대해 소송비용액 확정 신청을 하지 않아서 변호사 보수를 회수하지 못한 사례에 대한 기준이나 법령을 설명해줘요.,,,,,,,
규정·법령 근거 설명형,감정평가업체 선정 기준 위반과 관련된 유사 감사사례와 법령과 규정을 알려줘.,,,,,,,
규정·법령 근거 설명형,"분양주택 입주안내문 작성·운영이 불합리하다고 지적된 감사사례를 알려주고, 표준 입주안내문 마련과 관련한 기준을 알려줘.",,,,,,,
규정·법령 근거 설명형,"철도용품 공사규격서에서 시험기준을 제대로 명시하지 않아 하자가 발생한 사례를 찾아주고, 관련 규정을 설명해줄래?",,,,,,,
규정·법령 근거 설명형,"철도차량용 의자 커버 시험 기준을 일관되게 적용하지 않아 민원이 발생한 사례가 있다는데, 그 내용과 관련한 규정을 알려줄래요?",,,,,,,
규정·법령 근거 설명형,"타이탬퍼 구매 시 규격서를 첨부하지 않아 시험검사가 이루어지지 않은 사례가 있다는데, 어떤 규정과 관련 있는 지 설명해줘요.",,,,,,,
규정·법령 근거 설명형,"스텝체인 검사를 하면서 길이 측정 오차가 기준을 초과했는데도 합격 처리한 사례가 있다는데, 관련 기준과 규정을 알려줘.",,,,,,,
규정·법령 근거 설명형,"동적호차표시기 납품 검사에서 전기자기적합성(EMC) 시험을 생략한 사례를 찾아서 어떤 규정 위반인지, 어떤 법령과 관계있는 지 말해봐.",,,,,,,
규정·법령 근거 설명형,"철도용 레일 연삭기 납품 검사를 진행하면서 현장시험을 시행하지 않고 간담회로 대체한 사례가 있다는데, 관련 법령이나 규정을 말해줄래?",,,,,,,
요약·정리형,건설공사 및 건설엔지니어링 용역의 부실벌점 측정이 누락된 사례와 그에 따른 조치를 요약해줘.,,,,,,,
요약·정리형,전기공사에 건설공사 고용보험료 요율을 적용해 고용보험료를 과다 계상한 사례와 시정 내역을 찾아서 정리해줘.,,,,,,,
요약·정리형,영상감시장치 입찰에서 직접생산자가 아닌 업체 간 부당 공동행위 정황과 직접생산 위반으로 공정거래·판로지원법 관련 문제가 된 사례를 요약해줄래?,,,,,,,
요약·정리형,소상공인 우대점수를 반영하지 못한 물품구매 적격심사 세부기준과 개선 권고 내용을 모두 찾아서 정리해줘.,,,,,,,
요약·정리형,건설공사 품질시험계획서 제출·검토·승인 절차를 누락하거나 부실하게 처리한 품질시험계획 검토·승인 미흡 사례를 정리해봐.,,,,,,,
요약·정리형,"청렴도 측정대상자 명부를 잘못 작성해서 개인정보 누락·오기 등으로 문제가 된 감사사례를 요약해서 알려주고, 우리 기관이 어떤 시스템 개선을 위해 참고할 기준을 정리해.",,,,,,,
요약·정리형,교통안전시설물의 안전관리비 계상 기준을 잘못 적용한 감사사례를 모두 찾아서 정리해줘.,,,,,,,
요약·정리형,"숙사의 주택용/업무용 구분에 혼선이 발생한 사례를 요약하고, 해당 기관이 어떻게 규정을 개정하라고 요구받았는지 정리해줄래?",,,,,,,
요약·정리형,우리 기관 계약팀에서 같은 업체와 소액 수의계약을 반복해서 체결하고 있어. 같은 업체와 연간 3회 이상 수의계약을 지속적으로 체결한 공공기관 감사사례를 알려줘.,,,,,,,
요약·정리형,소규모 공사 및 용역에서 산업안전보건관리비를 계상하지 않은 사례를 정리해줄래?,,,,,,,
요약·정리형,"기숙사와 같은 특수 용도의 건축물에 대해 열공급 계약종별을 해석하는 과정에서 영업현장에 혼선이 생겨, 규정과 실무 교재를 동시에 개정하라고 지적받은 사례를 정리해.",,,,,,,
요약·정리형,열수급 계약에서 검침 사진이나 검침확인서도 없이 요금을 부과한 사례와 이 경우 어떤 문서·증빙을 갖춰야 하는지 정리해.,,,,,,,
요약·정리형,"감면 대상 산업단지 판단 기준과 적용해야 할 취득세·재산세 경감률, 그리고 과납 지방세에 대한 시정(회수) 조치 내용을 요약해서 알려줘봐.",,,,,,,
요약·정리형,"외부청렴도 측정 대상자 명부를 부정확하게 작성한 감사사례 모두 찾고, 권익위 청렴도 측정 지침에 맞는 명부 작성 기준을 요약해서 알려줘.",,,,,,,
요약·정리형,"결산체크리스트는 있었지만 실무에서 제대로 작동하지 않은 감사사례를 찾고, 내부회계관리제도 평가에서 이런 경우 어떻게 판단했는지 정리해.",,,,,,,
요약·정리형,"동일 업무에 대해 상이한 업체명·담당자가 기재된 유사 감사사례를 알려주고, 명부 검증 절차와 관련 시스템 오류 정정에 대한 개선요구 사항을 요약해줘.",,,,,,,
요약·정리형,"점용료 관련 리스계약을 과다 식별하여 자산·부채를 왜곡 계상한 감사사례를 요약하고, 리스 식별 절차(RCM) 개선방안과 담당 부서에 대한 적절한 개선요구 기준을 정리해줄래?",,,,,,,
요약·정리형,"리스 식별 누락 또는 과다식별과 관련된 내부회계관리제도 운영 부적정 사례를 요약하고, 외부감사인과의 협의 및 RCM 보완에 대한 감사 권고 내용을 정리해봐.",,,,,,,
요약·정리형,"물품구매대가에 대한 재료비 기간귀속을 잘못하여 공사원가가 뒤늦게 반영된 유사 감사사례를 찾아주고, 결산 시 재료비 기간귀속 점검 절차를 요약해줘.",,,,,,,
요약·정리형,"교육훈련비 원가구분을 하지 않아 판매관리비가 과대계상된 감사사례를 찾고, 적절한 회계정정 방법을 정리해줘.",,,,,,,
